                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91169,                 1.9671,                 1.4883,                0.50101,                0.47085,                0.44993,                0.19976,                 1.6724,                 2.8453,                 2.2261,                0.00062,                0.00062,                0.00062
                      2,                0.77168,                 1.3297,                 1.3766,                0.55961,                0.48436,                0.47437,                 0.1773,                 1.9908,                 3.2187,                 3.4813,              0.0011907,              0.0011907,              0.0011907
                      3,                0.78796,                 1.1469,                 1.3863,                0.07923,                 0.0583,                0.02427,                0.00689,                 3.6237,                 9.7107,                 4.9724,               0.001691,               0.001691,               0.001691
                      4,                0.78915,                 1.0686,                 1.3951,                0.09871,                0.32287,                 0.0573,                0.01386,                 3.0541,                 7.2979,                 4.4215,                0.00167,                0.00167,                0.00167
                      5,                0.74343,                0.97082,                 1.3631,                0.66553,                0.65919,                0.64565,                0.41958,                 1.3721,                 3.1963,                 2.3548,                0.00156,                0.00156,                0.00156
                      6,                0.71738,                0.91184,                 1.3476,                0.16861,                0.46637,                0.13077,                0.04317,                 2.2231,                  3.938,                 2.5883,                0.00145,                0.00145,                0.00145
                      7,                0.68746,                0.86625,                 1.3217,                0.84172,                0.76233,                0.83011,                0.48534,                 1.2972,                 1.2283,                  1.741,                0.00134,                0.00134,                0.00134
                      8,                0.68003,                0.82079,                 1.3173,                0.85968,                 0.7967,                0.85985,                0.57407,                 1.1595,                  1.015,                 1.6173,                0.00123,                0.00123,                0.00123
                      9,                0.76729,                0.80104,                  1.488,                0.78706,                0.69955,                0.73961,                0.48154,                 1.3266,                 1.2455,                 2.0189,                0.00112,                0.00112,                0.00112
                     10,                0.73075,                0.69643,                 1.4587,                0.83757,                0.83247,                0.84811,                0.59386,                 1.0604,                 1.0502,                   1.54,                0.00101,                0.00101,                0.00101
                     11,                0.68444,                 0.6323,                 1.4071,                0.85715,                0.82511,                0.87871,                0.65805,                0.95309,                0.89235,                  1.301,                 0.0009,                 0.0009,                 0.0009
                     12,                0.65807,                0.57073,                 1.3814,                0.87192,                0.86996,                0.90653,                0.62466,                 1.1044,                0.79093,                 1.4154,                0.00079,                0.00079,                0.00079
                     13,                0.63717,                 0.5461,                 1.3588,                  0.837,                0.82898,                0.88561,                0.66827,                0.96886,                0.76192,                 1.3109,                0.00068,                0.00068,                0.00068
                     14,                0.60006,                0.50893,                 1.3195,                0.92478,                0.88341,                0.93164,                0.69209,                0.98327,                 0.7381,                 1.2853,                0.00057,                0.00057,                0.00057
                     15,                0.57178,                0.48673,                  1.285,                0.92052,                0.88295,                0.93341,                0.71413,                0.88739,                0.64695,                 1.2203,                0.00046,                0.00046,                0.00046
                     16,                0.53926,                0.45624,                 1.2542,                 0.9019,                0.89238,                0.93456,                0.71746,                0.92096,                0.69856,                 1.2183,                0.00035,                0.00035,                0.00035
                     17,                0.51274,                0.41801,                 1.2271,                0.93261,                0.86882,                0.94197,                0.71349,                0.91173,                 0.6644,                 1.1711,                0.00024,                0.00024,                0.00024
                     18,                0.48916,                0.39606,                 1.2159,                0.93816,                0.88439,                 0.9439,                0.72214,                0.88444,                0.65771,                  1.164,                0.00013,                0.00013,                0.00013
